label_id,drug,drug_inn,disease,status,biomarker_restriction,combination_partner,line_of_therapy,approval_year,approval_date,source_type,source_url,verified_on,notes
L0001,Afatinib,Afatinib,NSCLC,APPROVED,unknown,none,unknown,2013,,INHERITED_UNVERIFIED,,,"Inherited from validation/temporal_holdout.py APPROVAL_YEARS, which was hand-typed with no citation. Year unverified. Biomarker restriction unrecorded and may be substantial."
L0002,Alectinib,Alectinib,NSCLC,APPROVED,unknown,none,unknown,2015,,INHERITED_UNVERIFIED,,,"Inherited from validation/temporal_holdout.py APPROVAL_YEARS, which was hand-typed with no citation. Year unverified. Biomarker restriction unrecorded and may be substantial."
L0003,Atezolizumab,Atezolizumab,NSCLC,APPROVED,unknown,none,unknown,2016,,INHERITED_UNVERIFIED,,,"Inherited from validation/temporal_holdout.py APPROVAL_YEARS, which was hand-typed with no citation. Year unverified. Biomarker restriction unrecorded and may be substantial."
L0004,Bevacizumab,Bevacizumab,Colorectal_Cancer,APPROVED,unknown,none,unknown,2004,,INHERITED_UNVERIFIED,,,"Inherited from validation/temporal_holdout.py APPROVAL_YEARS, which was hand-typed with no citation. Year unverified. Biomarker restriction unrecorded and may be substantial."
L0005,Binimetinib,Binimetinib,Melanoma,APPROVED,unknown,none,unknown,2018,,INHERITED_UNVERIFIED,,,"Inherited from validation/temporal_holdout.py APPROVAL_YEARS, which was hand-typed with no citation. Year unverified. Biomarker restriction unrecorded and may be substantial."
L0006,Cetuximab,Cetuximab,Colorectal_Cancer,APPROVED,unknown,none,unknown,2004,,INHERITED_UNVERIFIED,,,"Inherited from validation/temporal_holdout.py APPROVAL_YEARS, which was hand-typed with no citation. Year unverified. Biomarker restriction unrecorded and may be substantial."
L0007,Cobimetinib,Cobimetinib,Melanoma,APPROVED,unknown,none,unknown,2015,,INHERITED_UNVERIFIED,,,"Inherited from validation/temporal_holdout.py APPROVAL_YEARS, which was hand-typed with no citation. Year unverified. Biomarker restriction unrecorded and may be substantial."
L0008,Crizotinib,Crizotinib,NSCLC,APPROVED,unknown,none,unknown,2011,,INHERITED_UNVERIFIED,,,"Inherited from validation/temporal_holdout.py APPROVAL_YEARS, which was hand-typed with no citation. Year unverified. Biomarker restriction unrecorded and may be substantial."
L0009,Dabrafenib,Dabrafenib,Melanoma,APPROVED,unknown,none,unknown,2013,,INHERITED_UNVERIFIED,,,"Inherited from validation/temporal_holdout.py APPROVAL_YEARS, which was hand-typed with no citation. Year unverified. Biomarker restriction unrecorded and may be substantial."
L0010,Encorafenib,Encorafenib,Melanoma,APPROVED,unknown,none,unknown,2018,,INHERITED_UNVERIFIED,,,"Inherited from validation/temporal_holdout.py APPROVAL_YEARS, which was hand-typed with no citation. Year unverified. Biomarker restriction unrecorded and may be substantial."
L0011,Erlotinib,Erlotinib,NSCLC,APPROVED,unknown,none,unknown,2004,,INHERITED_UNVERIFIED,,,"Inherited from validation/temporal_holdout.py APPROVAL_YEARS, which was hand-typed with no citation. Year unverified. Biomarker restriction unrecorded and may be substantial."
L0012,Erlotinib,Erlotinib,Pancreatic_Cancer,APPROVED,unknown,none,unknown,2005,,INHERITED_UNVERIFIED,,,"Inherited from validation/temporal_holdout.py APPROVAL_YEARS, which was hand-typed with no citation. Year unverified. Biomarker restriction unrecorded and may be substantial."
L0013,Everolimus,Everolimus,RCC,APPROVED,unknown,none,unknown,2009,,INHERITED_UNVERIFIED,,,"Inherited from validation/temporal_holdout.py APPROVAL_YEARS, which was hand-typed with no citation. Year unverified. Biomarker restriction unrecorded and may be substantial."
L0014,Gefitinib,Gefitinib,NSCLC,APPROVED,unknown,none,unknown,2003,,INHERITED_UNVERIFIED,,,"Inherited from validation/temporal_holdout.py APPROVAL_YEARS, which was hand-typed with no citation. Year unverified. Biomarker restriction unrecorded and may be substantial."
L0015,Imatinib,Imatinib,CML,APPROVED,unknown,none,unknown,2001,,INHERITED_UNVERIFIED,,,"Inherited from validation/temporal_holdout.py APPROVAL_YEARS, which was hand-typed with no citation. Year unverified. Biomarker restriction unrecorded and may be substantial."
L0016,Imatinib,Imatinib,GIST,APPROVED,unknown,none,unknown,2002,,INHERITED_UNVERIFIED,,,"Inherited from validation/temporal_holdout.py APPROVAL_YEARS, which was hand-typed with no citation. Year unverified. Biomarker restriction unrecorded and may be substantial."
L0017,Ipilimumab,Ipilimumab,Melanoma,APPROVED,unknown,none,unknown,2011,,INHERITED_UNVERIFIED,,,"Inherited from validation/temporal_holdout.py APPROVAL_YEARS, which was hand-typed with no citation. Year unverified. Biomarker restriction unrecorded and may be substantial."
L0018,Lapatinib,Lapatinib,Breast_Cancer,APPROVED,unknown,none,unknown,2007,,INHERITED_UNVERIFIED,,,"Inherited from validation/temporal_holdout.py APPROVAL_YEARS, which was hand-typed with no citation. Year unverified. Biomarker restriction unrecorded and may be substantial."
L0019,Metformin,Metformin,Type2_Diabetes,APPROVED,unknown,none,unknown,1995,,INHERITED_UNVERIFIED,,,"Inherited from validation/temporal_holdout.py APPROVAL_YEARS, which was hand-typed with no citation. Year unverified. Biomarker restriction unrecorded and may be substantial."
L0020,Nivolumab,Nivolumab,Melanoma,APPROVED,unknown,none,unknown,2014,,INHERITED_UNVERIFIED,,,"Inherited from validation/temporal_holdout.py APPROVAL_YEARS, which was hand-typed with no citation. Year unverified. Biomarker restriction unrecorded and may be substantial."
L0021,Nivolumab,Nivolumab,NSCLC,APPROVED,unknown,none,unknown,2015,,INHERITED_UNVERIFIED,,,"Inherited from validation/temporal_holdout.py APPROVAL_YEARS, which was hand-typed with no citation. Year unverified. Biomarker restriction unrecorded and may be substantial."
L0022,Nivolumab,Nivolumab,RCC,APPROVED,unknown,none,unknown,2015,,INHERITED_UNVERIFIED,,,"Inherited from validation/temporal_holdout.py APPROVAL_YEARS, which was hand-typed with no citation. Year unverified. Biomarker restriction unrecorded and may be substantial."
L0023,Olaparib,Olaparib,Breast_Cancer,APPROVED,unknown,none,unknown,2018,,INHERITED_UNVERIFIED,,,"Inherited from validation/temporal_holdout.py APPROVAL_YEARS, which was hand-typed with no citation. Year unverified. Biomarker restriction unrecorded and may be substantial."
L0024,Olaparib,Olaparib,Ovarian_Cancer,APPROVED,unknown,none,unknown,2014,,INHERITED_UNVERIFIED,,,"Inherited from validation/temporal_holdout.py APPROVAL_YEARS, which was hand-typed with no citation. Year unverified. Biomarker restriction unrecorded and may be substantial."
L0025,Osimertinib,Osimertinib,NSCLC,APPROVED,unknown,none,unknown,2015,,INHERITED_UNVERIFIED,,,"Inherited from validation/temporal_holdout.py APPROVAL_YEARS, which was hand-typed with no citation. Year unverified. Biomarker restriction unrecorded and may be substantial."
L0026,Palbociclib,Palbociclib,Breast_Cancer,APPROVED,unknown,none,unknown,2015,,INHERITED_UNVERIFIED,,,"Inherited from validation/temporal_holdout.py APPROVAL_YEARS, which was hand-typed with no citation. Year unverified. Biomarker restriction unrecorded and may be substantial."
L0027,Pembrolizumab,Pembrolizumab,Melanoma,APPROVED,unknown,none,unknown,2014,,INHERITED_UNVERIFIED,,,"Inherited from validation/temporal_holdout.py APPROVAL_YEARS, which was hand-typed with no citation. Year unverified. Biomarker restriction unrecorded and may be substantial."
L0028,Pembrolizumab,Pembrolizumab,NSCLC,APPROVED,unknown,none,unknown,2015,,INHERITED_UNVERIFIED,,,"Inherited from validation/temporal_holdout.py APPROVAL_YEARS, which was hand-typed with no citation. Year unverified. Biomarker restriction unrecorded and may be substantial."
L0029,Ramucirumab,Ramucirumab,Colorectal_Cancer,APPROVED,unknown,none,unknown,2015,,INHERITED_UNVERIFIED,,,"Inherited from validation/temporal_holdout.py APPROVAL_YEARS, which was hand-typed with no citation. Year unverified. Biomarker restriction unrecorded and may be substantial."
L0030,Regorafenib,Regorafenib,Colorectal_Cancer,APPROVED,unknown,none,unknown,2012,,INHERITED_UNVERIFIED,,,"Inherited from validation/temporal_holdout.py APPROVAL_YEARS, which was hand-typed with no citation. Year unverified. Biomarker restriction unrecorded and may be substantial."
L0031,Regorafenib,Regorafenib,GIST,APPROVED,unknown,none,unknown,2013,,INHERITED_UNVERIFIED,,,"Inherited from validation/temporal_holdout.py APPROVAL_YEARS, which was hand-typed with no citation. Year unverified. Biomarker restriction unrecorded and may be substantial."
L0032,Regorafenib,Regorafenib,HCC,APPROVED,unknown,none,unknown,2017,,INHERITED_UNVERIFIED,,,"Inherited from validation/temporal_holdout.py APPROVAL_YEARS, which was hand-typed with no citation. Year unverified. Biomarker restriction unrecorded and may be substantial."
L0033,Ribociclib,Ribociclib,Breast_Cancer,APPROVED,unknown,none,unknown,2017,,INHERITED_UNVERIFIED,,,"Inherited from validation/temporal_holdout.py APPROVAL_YEARS, which was hand-typed with no citation. Year unverified. Biomarker restriction unrecorded and may be substantial."
L0034,Ruxolitinib,Ruxolitinib,Myelofibrosis,APPROVED,unknown,none,unknown,2011,,INHERITED_UNVERIFIED,,,"Inherited from validation/temporal_holdout.py APPROVAL_YEARS, which was hand-typed with no citation. Year unverified. Biomarker restriction unrecorded and may be substantial."
L0035,Sorafenib,Sorafenib,HCC,APPROVED,unknown,none,unknown,2007,,INHERITED_UNVERIFIED,,,"Inherited from validation/temporal_holdout.py APPROVAL_YEARS, which was hand-typed with no citation. Year unverified. Biomarker restriction unrecorded and may be substantial."
L0036,Sorafenib,Sorafenib,RCC,APPROVED,unknown,none,unknown,2005,,INHERITED_UNVERIFIED,,,"Inherited from validation/temporal_holdout.py APPROVAL_YEARS, which was hand-typed with no citation. Year unverified. Biomarker restriction unrecorded and may be substantial."
L0037,Sunitinib,Sunitinib,GIST,APPROVED,unknown,none,unknown,2006,,INHERITED_UNVERIFIED,,,"Inherited from validation/temporal_holdout.py APPROVAL_YEARS, which was hand-typed with no citation. Year unverified. Biomarker restriction unrecorded and may be substantial."
L0038,Sunitinib,Sunitinib,RCC,APPROVED,unknown,none,unknown,2006,,INHERITED_UNVERIFIED,,,"Inherited from validation/temporal_holdout.py APPROVAL_YEARS, which was hand-typed with no citation. Year unverified. Biomarker restriction unrecorded and may be substantial."
L0039,Temsirolimus,Temsirolimus,RCC,APPROVED,unknown,none,unknown,2007,,INHERITED_UNVERIFIED,,,"Inherited from validation/temporal_holdout.py APPROVAL_YEARS, which was hand-typed with no citation. Year unverified. Biomarker restriction unrecorded and may be substantial."
L0040,Thalidomide,Thalidomide,Multiple_Myeloma,APPROVED,unknown,none,unknown,2006,,INHERITED_UNVERIFIED,,,"Inherited from validation/temporal_holdout.py APPROVAL_YEARS, which was hand-typed with no citation. Year unverified. Biomarker restriction unrecorded and may be substantial."
L0041,Trametinib,Trametinib,Melanoma,APPROVED,unknown,none,unknown,2013,,INHERITED_UNVERIFIED,,,"Inherited from validation/temporal_holdout.py APPROVAL_YEARS, which was hand-typed with no citation. Year unverified. Biomarker restriction unrecorded and may be substantial."
L0042,Trastuzumab,Trastuzumab,Breast_Cancer,APPROVED,unknown,none,unknown,1998,,INHERITED_UNVERIFIED,,,"Inherited from validation/temporal_holdout.py APPROVAL_YEARS, which was hand-typed with no citation. Year unverified. Biomarker restriction unrecorded and may be substantial."
L0043,Vemurafenib,Vemurafenib,Melanoma,APPROVED,unknown,none,unknown,2011,,INHERITED_UNVERIFIED,,,"Inherited from validation/temporal_holdout.py APPROVAL_YEARS, which was hand-typed with no citation. Year unverified. Biomarker restriction unrecorded and may be substantial."
L0044,Venetoclax,Venetoclax,CLL,APPROVED,unknown,none,unknown,2016,,INHERITED_UNVERIFIED,,,"Inherited from validation/temporal_holdout.py APPROVAL_YEARS, which was hand-typed with no citation. Year unverified. Biomarker restriction unrecorded and may be substantial."
L0045,Dacomitinib,Dacomitinib,NSCLC,APPROVED,EGFR exon 19 del or exon 21 L858R,none,first_line,2018,2018-09-27,FDA_ONCOLOGY_ANNOUNCEMENT,https://www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm621967.htm,2026-07-31,Ranked #1 among the temporal holdout's NEGATIVES. The single clearest proof that the gold set is incomplete.
L0046,Dacomitinib Anhydrous,Dacomitinib,NSCLC,APPROVED,EGFR exon 19 del or exon 21 L858R,none,first_line,2018,2018-09-27,FDA_ONCOLOGY_ANNOUNCEMENT,https://www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm621967.htm,2026-07-31,ChEMBL salt-form duplicate of the row above; both occupy separate ranks with identical scores. Normalize before any metric is computed.
L0047,Lorlatinib,Lorlatinib,NSCLC,APPROVED,"ALK-positive, after progression on crizotinib plus another ALK inhibitor",none,post_progression,2018,2018-11-02,FDA_ONCOLOGY_ANNOUNCEMENT,https://www.fda.gov/drugs/fda-approves-lorlatinib-second-or-third-line-treatment-alk-positive-metastatic-nsclc,2026-07-31,Accelerated approval. NOT approved for NSCLC generally - the restriction is narrow and the graph cannot represent it.
L0048,Brigatinib,Brigatinib,NSCLC,APPROVED,"ALK-positive, progressed on or intolerant of crizotinib",none,post_progression,2017,2017-04-28,FDA_ONCOLOGY_ANNOUNCEMENT,https://www.fda.gov/drugs/resources-information-approved-drugs,2026-07-31,Accelerated approval 2017-04-28 (ALUNBRIG). Date from FDA oncology approval announcements; re-verify the direct URL before publishing.
L0049,Amivantamab,Amivantamab,NSCLC,APPROVED,EGFR exon 20 insertion,none,later_line,2021,,FDA_ONCOLOGY_ANNOUNCEMENT,https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-amivantamab-vmjw-egfr-exon-20-insertion-mutated-non-small-cell-lung-cancer-indications,2026-07-31,First approval 2021 for EGFR exon 20 insertion after platinum chemo; later expansions 2024-03-01 and 2024-09-19. Day-precision of the 2021 approval not confirmed.
L0050,Avapritinib,Avapritinib,GIST,APPROVED,"PDGFRA exon 18 mutation, including D842V",none,any,2020,,FDA_APPROVAL_LETTER,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2020/212608Orig1s000ltr.pdf,2026-07-31,"NDA 212608. This population does NOT respond to standard GIST therapy, so crediting a generic GIST prediction here would be its own overstatement."
L0051,Gilteritinib,Gilteritinib,AML,APPROVED,"FLT3 ITD/D835/I836 mutation, relapsed or refractory",none,later_line,2018,2018-11-28,FDA_ONCOLOGY_ANNOUNCEMENT,https://www.fda.gov/drugs/fda-approves-gilteritinib-relapsed-or-refractory-acute-myeloid-leukemia-aml-flt3-mutation,2026-07-31,Ranked #3 for AML and unlabelled. AML previously had ZERO treats labels in the graph - this is its first.
L0052,Adagrasib,Adagrasib,Colorectal_Cancer,APPROVED,KRAS G12C,cetuximab,later_line,2024,2024-06-21,FDA_ONCOLOGY_ANNOUNCEMENT,https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-accelerated-approval-adagrasib-cetuximab-kras-g12c-mutated-colorectal-cancer,2026-07-31,Accelerated approval. COMBINATION ONLY - not approved as monotherapy for CRC. Ranked #1 for Colorectal_Cancer and counted as a false positive.
L0053,Sotorasib,Sotorasib,Colorectal_Cancer,APPROVED,KRAS G12C,panitumumab,later_line,2025,2025-01-15,FDA_ONCOLOGY_ANNOUNCEMENT,https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-sotorasib-panitumumab-kras-g12c-mutated-colorectal-cancer,2026-07-31,COMBINATION ONLY - not approved as monotherapy for CRC. Ranked #2 for Colorectal_Cancer and counted as a false positive.
L0054,Cabozantinib S-Malate,Cabozantinib,HCC,APPROVED,none,none,later_line,2019,2019-01-14,FDA_ONCOLOGY_ANNOUNCEMENT,https://www.fda.gov/drugs/fda-approves-cabozantinib-hepatocellular-carcinoma,2026-07-31,Approved after prior sorafenib. Ranked #1 for HCC and counted as a false positive. Graph node carries the salt form 'Cabozantinib S-Malate'.
L0055,Fedratinib,Fedratinib,Myelofibrosis,APPROVED,intermediate-2 or high-risk primary or secondary,none,any,2019,2019-08-16,FDA_ONCOLOGY_ANNOUNCEMENT,https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-fedratinib-myelofibrosis,2026-07-31,Ranked #3 for Myelofibrosis and counted as a false positive.
L0056,Bosutinib,Bosutinib,CML,APPROVED,Philadelphia chromosome positive,none,later_line,2012,2012-09-04,FDA_ONCOLOGY_ANNOUNCEMENT,https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-bosutinib-pediatric-patients-chronic-myelogenous-leukemia,2026-07-31,Ranked #5 for CML. 2012 approval was for resistance/intolerance to prior therapy; first-line and paediatric indications followed. Cited URL is the paediatric announcement - replace with the 2012 adult approval letter on the next pass.
L0057,Asciminib,Asciminib,CML,APPROVED,"Philadelphia chromosome positive, chronic phase",none,first_line,2024,2024-10-29,FDA_ONCOLOGY_ANNOUNCEMENT,https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-accelerated-approval-asciminib-newly-diagnosed-chronic-myeloid-leukemia,2026-07-31,Ranked #6 for CML. Accelerated approval for newly diagnosed; an earlier 2021 approval covered prior-TKI patients.
L0058,Trastuzumab_deruxtecan,Trastuzumab deruxtecan,Breast_Cancer,APPROVED,HER2-low (and separately HER2-positive),none,later_line,2022,2022-08-05,FDA_ONCOLOGY_ANNOUNCEMENT,https://www.fda.gov/drugs/resources-information-approved-drugs/fda-disco-burst-edition-fda-approvals-enhertu-fam-trastuzumab-deruxtecan-nxki-unresectable-or,2026-07-31,"Ranked #5 for Breast_Cancer. Multiple later approvals exist (2024 HER2+ solid tumours, 2025 HR+/HER2-ultralow, 2025 with pertuzumab first-line, 2026 early-stage); earliest breast approval recorded here."
L0059,Imatinib,Imatinib,Soft_Tissue_Sarcoma,APPROVED,"dermatofibrosarcoma protuberans subtype only, unresectable or metastatic",none,any,2006,,FDA_APPROVAL_LETTER,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/021588s060lbl.pdf,2026-07-31,Ranked #6 for Soft_Tissue_Sarcoma. NOT a general soft-tissue-sarcoma approval - DFSP is one rare subtype. Counting this as a whole-disease hit would overstate. Date from label; confirm the DFSP supplement date on the next pass.
