pmid,relevance_assessment,review_note
17699365,RELEVANT_BUT_WEAK,"General multiple-myeloma review notes elevated IL-6; supports association, not a causal driver claim."
19589728,RELEVANT_BUT_WEAK,"Review calls COX-2 a mechanistic link in inflammation-associated CRC; not primary causal evidence across all CRC."
22389471,RELEVANT_CONTEXTUAL,"Primary melanoma models show MEK1 mutations can mediate acquired BRAF-inhibitor resistance; supports MAP2K1 in a specific resistance context."
23177518,UNRESOLVED,"NCBI ESummary returns 'cannot get document summary'; KDR->GIST has no usable receipt."
27741508,RELEVANT_REVIEW,"Review explicitly describes AR signaling as a primary driver of castration-resistant prostate cancer."
31276706,RELEVANT_REVIEW,"Review supports TP53 loss/mutation as important across several bone and soft-tissue sarcoma subtypes; direction is loss of tumor-suppressor function."
31327527,RELEVANT_PRIMARY,"Single-cell/integrative GBM study identifies EGFR amplification among genetic drivers influencing malignant cellular states."
32976798,RELEVANT_CONTEXTUAL,"Primary HCC study finds VEGFR2-positive fetal-like endothelial cells and VEGF signaling in the microenvironment; it does not establish VEGFR2 as a tumor-cell driver."
36901951,RELEVANT_CONTEXTUAL,"MAP2K1-mutant triple-negative melanoma response/resistance report supports a biomarker-specific role, not melanoma generally."
38064865,RELEVANT_PRIMARY,"Primary ccRCC study reports HIF1A-AS2/Gli1/HIF1alpha signaling promotes carcinogenesis; relevant but pathway-specific."
38868177,RELEVANT_CONTEXTUAL,"RCC resistance study reports VEGFR2 accumulation in sunitinib-resistant cells; relevant to drug resistance, not sufficient for a VEGFR2 driver_of claim."
39796641,RELEVANT_REVIEW,"STS review describes CDK4 amplification and CDK4/6-inhibitor results specifically in WDLPS/DDLPS; the graph disease node is much broader."
41554087,RELEVANT_PRIMARY,"Experimental mammary-epithelial study calls ERBB2 amplification a common breast-cancer driver and shows a hyperproliferative phenotype."
41635891,RELEVANT_INCIDENTAL_CASE,"SDHA-management case report includes a GIST with a somatic PDGFRA driver; true statement, but too incidental to justify ESTABLISHED tier alone."
41991667,RELEVANT_CONTEXTUAL,"Transplant outcomes paper says JAK2 was the predominant driver mutation in blast-phase MPN; not a dedicated myelofibrosis mechanism source."
42074235,RELEVANT_INCIDENTAL,"Cardiomyocyte-toxicity paper states in its background that activating PIK3CA mutations drive endocrine resistance in HR+/HER2- breast cancer; the experiment does not test the driver edge."
42092950,RELEVANT_PRIMARY,"Primary pancreatic model directly studies KRAS-mutation-induced acinar-to-ductal metaplasia and early tumorigenesis."
42126185,DOES_NOT_SUPPORT_CLAIM,"CD24 melanoma review discusses resistance to BRAF-targeted therapy but does not establish BRAF as the melanoma driver used by this edge."
42171355,RELEVANT_TREATMENT_ONLY,"Plain-language ROMEI summary supports ruxolitinib use in myelofibrosis, but R05 is invalid because a drug is used as the horn intermediate."
42171906,RELEVANT_SYNDROME,"Cohort study supports germline TP53 variants causing Li-Fraumeni syndrome; LFS remains a predisposition syndrome, not a tumor indication."
42198431,RELEVANT_PRIMARY,"AML study shows dual FLT3/MAPK14 degradation induces AML cell death; relevant preclinical support for FLT3 dependence."
