review_id,evidence_state,human_testing_status,result_signal,candidate_assessment,review_note,negative_evidence_found,what_kind_of_negative_evidence,evidence_sources,reviewed_on
R01,NO_DIRECT_EVIDENCE_FOUND,NO_PAIR_SPECIFIC_STUDY_CONFIRMED,NOT_TESTED,LOW_PRIORITY_UNSUPPORTED,"Targeted search found platinum-containing lymphoma records but no interpretable carboplatin study specific to CLL; TP53 activation is not a selective CLL rationale.",NO,"No pair-specific negative study found; search absence is not support.",,2026-08-01
R02,TESTED_MIXED,COMPLETED_PHASE_2,MIXED,NOT_NOVEL_CLINICALLY_TESTED,"Ribociclib plus everolimus met its 16-week endpoint in dedifferentiated liposarcoma but not leiomyosarcoma; broad STS label hides opposite subtype results.",YES,"Completed phase II: LMS cohort missed the primary endpoint; a separate ribociclib combination stopped for toxicity before phase II, which is regimen-specific.",https://pubmed.ncbi.nlm.nih.gov/37967116/,2026-08-01
R03,INVALID_CANDIDATE,NOT_APPLICABLE,NOT_APPLICABLE,EXCLUDE_CATEGORY_ERROR,"Li-Fraumeni syndrome is a germline cancer-predisposition syndrome, not a tumour indication.",NOT_APPLICABLE,"Category error; efficacy evidence for a tumour-agnostic LFS treatment is not the relevant question.",https://pubmed.ncbi.nlm.nih.gov/42171906/,2026-08-01
R04,REGISTERED_NO_RESULT,REGISTERED_STATUS_UNCLEAR,NOT_AVAILABLE,KEEP_UNDER_REVIEW,"Mebendazole has HCC preclinical activity and a registered lenvatinib-combination study, but no efficacy result was located.",NO,"No negative pair-specific result found; the registered trial has no located result, which must not be treated as success.",https://pmc.ncbi.nlm.nih.gov/articles/PMC6911098/;https://clinicaltrials.gov/study/NCT04443049,2026-08-01
R05,INVALID_CANDIDATE,NOT_APPLICABLE,NOT_APPLICABLE,EXCLUDE_INVALID_ROUTE,"The horn is Venetoclax to Ruxolitinib to myelofibrosis; its intermediate is a drug and the terminal edge is treats, not a protein mechanism.",NOT_APPLICABLE,"Invalid graph route rather than clinical negative evidence.",https://pubmed.ncbi.nlm.nih.gov/42171355/,2026-08-01
R06,INVALID_CANDIDATE,NOT_APPLICABLE,NOT_APPLICABLE,EXCLUDE_CATEGORY_ERROR,"Li-Fraumeni syndrome is a germline predisposition syndrome, not a tumour indication.",NOT_APPLICABLE,"Category error.",https://pubmed.ncbi.nlm.nih.gov/42171906/,2026-08-01
R07,NO_DIRECT_EVIDENCE_FOUND,NO_PAIR_SPECIFIC_STUDY_CONFIRMED,NOT_TESTED,LOW_PRIORITY_UNSUPPORTED,"No direct mebendazole-RCC human or primary tumour study was located; the terminal VEGFR2-RCC edge is SPECULATIVE and lexical.",NO,"No pair-specific negative study found; absence is unresolved standing.",,2026-08-01
R08,MECHANISM_MISMATCH,HUMAN_BASKET_EVIDENCE,BIOMARKER_DEPENDENT,EXCLUDE_DISEASE_LEVEL_ROUTE,"Sotorasib targets KRAS G12C, not MAP2K1 directly; any melanoma case requires the rare KRAS G12C biomarker, which the disease-level horn does not encode.",NO,"No melanoma-specific negative result found; the problem is target and biomarker mismatch.",https://pubmed.ncbi.nlm.nih.gov/32955176/,2026-08-01
R09,INVALID_CANDIDATE,NOT_APPLICABLE,NOT_APPLICABLE,EXCLUDE_CATEGORY_ERROR,"Li-Fraumeni syndrome is not a tumour indication; the chloroquine-TP53 edge is also SPECULATIVE lexical evidence.",NOT_APPLICABLE,"Category error.",https://pubmed.ncbi.nlm.nih.gov/42171906/,2026-08-01
R10,TESTED_MIXED,COMPLETED_SMALL_TRIALS,MIXED,NOT_NOVEL_CLINICALLY_TESTED,"Old high-dose cimetidine RCC studies produced rare durable complete responses but little population-level activity; spontaneous regression confounds interpretation.",YES,"Completed human studies showed only rare responses and no convincing general activity, but they were not uniformly negative.",https://pubmed.ncbi.nlm.nih.gov/1553905/;https://pubmed.ncbi.nlm.nih.gov/1997930/,2026-08-01
R11,INVALID_CANDIDATE,NOT_APPLICABLE,NOT_APPLICABLE,EXCLUDE_SIGN_ERROR,"Beperminogene perplasmid expresses HGF and activates MET; proposing it for MET-driven NSCLC has the harmful direction.",NOT_APPLICABLE,"Sign error, not an efficacy failure.",https://pubmed.ncbi.nlm.nih.gov/28420162/,2026-08-01
R12,INVALID_CANDIDATE,NOT_APPLICABLE,NOT_APPLICABLE,EXCLUDE_CATEGORY_ERROR,"Li-Fraumeni syndrome is a predisposition syndrome rather than a tumour indication.",NOT_APPLICABLE,"Category error.",https://pubmed.ncbi.nlm.nih.gov/42171906/,2026-08-01
R13,ACTIVE_OR_REGISTERED_NO_RESULT,EARLY_COMBINATION_STUDY,NOT_AVAILABLE,KEEP_UNDER_REVIEW,"Itraconazole has preclinical HCC evidence and ongoing combination-study activity; no interpretable treatment efficacy result was located.",NO,"No negative pair-specific result found; lack of results is not a positive signal.",https://pubmed.ncbi.nlm.nih.gov/32942154/;https://clinicaltrials.gov/study/NCT06084481,2026-08-01
R14,NO_DIRECT_EVIDENCE_FOUND,NO_PAIR_SPECIFIC_STUDY_CONFIRMED,NOT_TESTED,LOW_PRIORITY_UNSUPPORTED,"No direct diclofenac-multiple-myeloma treatment evidence was located; the apparent registry match was for a different intervention.",NO,"No pair-specific negative study found; ClinicalTrials search produced a false positive.",,2026-08-01
R15,INVALID_CANDIDATE,NOT_APPLICABLE,NOT_APPLICABLE,EXCLUDE_CATEGORY_ERROR,"Li-Fraumeni syndrome is a predisposition syndrome rather than a tumour indication.",NOT_APPLICABLE,"Category error.",https://pubmed.ncbi.nlm.nih.gov/42171906/,2026-08-01
R16,TESTED_SIGNAL,COMPLETED_COMBINATION_STUDY,POSITIVE_WITH_LIMITATIONS,NOT_NOVEL_CLINICALLY_TESTED,"Oxaliplatin was used in OFAR combinations for relapsed CLL with responses, but toxicity was substantial and the result does not validate TP53 activation as the causal mechanism.",YES,"Human combination evidence includes substantial toxicity and an obsolete regimen context, not clear single-agent inactivity.",https://pmc.ncbi.nlm.nih.gov/articles/PMC4180513/,2026-08-01
R17,NO_DIRECT_EVIDENCE_FOUND,NO_PAIR_SPECIFIC_STUDY_CONFIRMED,NOT_TESTED,LOW_PRIORITY_UNSUPPORTED,"No direct leflunomide-GIST treatment evidence was located; PDGFRA biology alone does not establish this drug pair.",NO,"No pair-specific negative study found.",,2026-08-01
R18,ACTIVE_TRIAL_NO_RESULT,RECRUITING_PHASE_1,NOT_AVAILABLE,KEEP_UNDER_REVIEW,"Amivantamab is being tested in EGFR-amplified high-grade malignant brain tumours; recruiting status means the class cannot be stamped failed for this agent.",NO,"No result yet; prior EGFR-class failures are context, not pair-specific contradiction.",https://clinicaltrials.gov/study/NCT06632236,2026-08-01
R19,SCIENTIFIC_STOP_NEEDS_INTERPRETATION,TERMINATED_ANALOG_TRIAL,NEGATIVE_OR_SAFETY_UNCLEAR,LOW_PRIORITY_NEGATIVE_SIGNAL,"A hydroxychloroquine study in untreated B-CLL was suspended while safety and efficacy data were reviewed; this is a class analog, not exact chloroquine proof.",YES,"NCT00771056 terminated/suspended for safety-and-efficacy review; exact biological conclusion remains unclear.",https://clinicaltrials.gov/study/NCT00771056,2026-08-01
R20,INVALID_CANDIDATE,NO_SYSTEMIC_CANCER_FORMULATION,NOT_TESTED,EXCLUDE_FORMULATION_MISMATCH,"Clascoterone is a topical androgen-receptor antagonist; no systemic prostate-cancer formulation or trial was located.",NOT_APPLICABLE,"Formulation/category mismatch rather than negative efficacy evidence.",https://www.fda.gov/media/142578/download,2026-08-01
R21,NO_DIRECT_EVIDENCE_FOUND,NO_PAIR_SPECIFIC_STUDY_CONFIRMED,NOT_TESTED,LOW_PRIORITY_UNSUPPORTED,"No brigatinib-GBM study was located; brigatinib is primarily an ALK inhibitor and the graph's EGFR hop is SPECULATIVE.",NO,"EGFR-class failures are background evidence, not a brigatinib-specific result.",,2026-08-01
R22,NO_DIRECT_EVIDENCE_FOUND,NO_PAIR_SPECIFIC_STUDY_CONFIRMED,NOT_TESTED,LOW_PRIORITY_UNSUPPORTED,"No direct itraconazole-RCC human or primary tumour study was located; the VEGFR2-RCC terminal edge is SPECULATIVE lexical evidence.",NO,"No pair-specific negative study found.",,2026-08-01
R23,COMPLETED_NO_RESULT_FOUND,COMPLETED_AND_OPERATIONALLY_TERMINATED,NOT_AVAILABLE,NOT_NOVEL_UNRESOLVED,"Dacomitinib has breast-cancer trial records, including a completed study, but no interpretable efficacy publication was located; another record stopped for low accrual.",NO,"Low accrual is operational, not biological failure; completed-without-located-results remains unresolved.",https://clinicaltrials.gov/study/NCT02047747,2026-08-01
R24,NO_DIRECT_EVIDENCE_FOUND,NO_PAIR_SPECIFIC_STUDY_CONFIRMED,NOT_TESTED,LOW_PRIORITY_UNSUPPORTED,"No lazertinib-GBM treatment study was located; CNS activity in EGFR-mutant lung metastases does not establish primary GBM efficacy.",NO,"Prior EGFR-GBM failures are class context, not lazertinib-specific evidence.",https://pubmed.ncbi.nlm.nih.gov/39145962/,2026-08-01
R25,PRECLINICAL_ONLY,NO_HUMAN_PAIR_STUDY_CONFIRMED,PRECLINICAL_SIGNAL,KEEP_LOW_PRIORITY_PRECLINICAL,"Mebendazole has melanoma preclinical activity, but the apparent recruiting registry hit is an avapritinib study with no mebendazole intervention; the graph's BRAF receipt also does not support its claim.",NO,"No human pair-specific negative study found; no mebendazole-melanoma trial was confirmed.",https://pubmed.ncbi.nlm.nih.gov/28157711/,2026-08-01
R26,NO_DIRECT_EVIDENCE_FOUND,NO_PAIR_SPECIFIC_STUDY_CONFIRMED,NOT_TESTED,LOW_PRIORITY_UNSUPPORTED,"No direct imetelstat-HCC study or result was located despite a plausible telomerase rationale.",NO,"No pair-specific negative study found.",,2026-08-01
R27,TESTED_INACTIVE_PUBLISHED,COMPLETED_PHASE_2,NEGATIVE,NOT_NOVEL_CONTRADICTED,"Biomarker-selected recurrent EGFR-amplified GBM phase II showed PFS6 10.6%, median PFS 2.7 months and ORR 4.1%; authors concluded limited single-agent activity.",YES,"Published completed phase II with low response and limited activity.",https://pubmed.ncbi.nlm.nih.gov/28575464/,2026-08-01
